mois,famille,type_absence,type_contrat,catégorie,tranche_age,temps_du_total,temps_absence_total,taux_absence
2024-11,Aucune,Aucune,cdi,Pharmacie,Moins de 20 ans,645.18,85.0,13.174617936079855
2024-11,Aucune,Aucune,cdi,Pharmacie,Non défini,4219.5,450.0,10.66477070742979
2024-11,Aucune,Aucune,cdi,Psycho-social,20-30 ans,127.5,17.0,13.333333333333334
2024-11,Aucune,Aucune,cdi,Psycho-social,Non défini,862.5,90.0,10.434782608695652
2024-11,Aucune,Aucune,cdi,Pédiatrie/néonat,20-30 ans,223.5,17.0,7.606263982102908
2024-11,Aucune,Aucune,cdi,Pédiatrie/néonat,30-40 ans,108.0,9.0,8.333333333333332
2024-11,Aucune,Aucune,cdi,Pédiatrie/néonat,Non défini,312.0,9.0,2.8846153846153846
2024-11,Aucune,Aucune,cdi,Qualité,20-30 ans,120.0,15.0,12.5
2024-11,Aucune,Aucune,cdi,Qualité,Moins de 20 ans,120.0,15.0,12.5
2024-11,Aucune,Aucune,cdi,Qualité,Non défini,736.0,65.0,8.831521739130435
2024-11,Aucune,Aucune,cdi,Recherche,20-30 ans,247.5,15.0,6.0606060606060606
2024-11,Aucune,Aucune,cdi,Recherche,30-40 ans,120.0,0.0,0.0
2024-11,Aucune,Aucune,cdi,Recherche,Moins de 20 ans,192.0,8.0,4.166666666666666
2024-11,Aucune,Aucune,cdi,Recherche,Non défini,1176.0,103.0,8.758503401360544
2024-11,Aucune,Aucune,cdi,Rééducation,20-30 ans,819.0,91.0,11.11111111111111
2024-11,Aucune,Aucune,cdi,Rééducation,Non défini,2280.0,220.0,9.649122807017543
2024-11,Aucune,Aucune,cdi,Soins infirmiers,20-30 ans,5116.0,453.0,8.85457388584832
2024-11,Aucune,Aucune,cdi,Soins infirmiers,30-40 ans,2253.6,181.0,8.031593894213703
2024-11,Aucune,Aucune,cdi,Soins infirmiers,40-50 ans,744.0,48.0,6.451612903225806
2024-11,Aucune,Aucune,cdi,Soins infirmiers,Moins de 20 ans,1216.5,97.0,7.973695026715988
2024-11,Aucune,Aucune,cdi,Soins infirmiers,Non défini,25456.92,1989.0,7.813199711512627
2024-11,Aucune,Aucune,cdi,Sécurité,20-30 ans,475.0,34.0,7.157894736842104
2024-11,Aucune,Aucune,cdi,Sécurité,Non défini,666.0,31.0,4.654654654654655
2024-11,Aucune,Aucune,cdi,Techniques/bâtiment,20-30 ans,360.6,47.0,13.033832501386577
2024-11,Aucune,Aucune,cdi,Techniques/bâtiment,Moins de 20 ans,137.1,17.0,12.39970824215901
2024-11,Aucune,Aucune,cdi,Techniques/bâtiment,Non défini,925.98,114.0,12.311281021188362
2024-11,Autres,Formation,cdi,Soins infirmiers,Non défini,765.0,102.0,13.333333333333334
2024-11,Maladie,Longue maladie,cdi,Médical,30-40 ans,1657.5,221.0,13.333333333333334
2024-11,Maladie,Longue maladie,cdi,Médical,Non défini,1657.5,221.0,13.333333333333334
2024-11,Maladie,Maladie,cdd,Logistique,30-40 ans,5610.0,748.0,13.333333333333334
2024-11,Maladie,Maladie,cdd,Médical,20-30 ans,6480.0,810.0,12.5
2024-11,Maladie,Maladie,cdd,Médical,30-40 ans,6480.0,810.0,12.5
2024-11,Maladie,Maladie,cdd,Soins infirmiers,20-30 ans,5184.0,432.0,8.333333333333332
2024-11,Maladie,Maladie,cdd,Soins infirmiers,60 ans et plus,12240.0,1632.0,13.333333333333334
2024-11,Maladie,Maladie,cdd,Techniques/bâtiment,40-50 ans,2641.92,344.0,13.020833333333334
2024-11,Maladie,Maladie,cdi,Administratif,Non défini,8280.0,1056.0,12.753623188405797
2024-11,Maladie,Maladie,cdi,Administratif/médical,20-30 ans,40320.0,5040.0,12.5
2024-11,Maladie,Maladie,cdi,Administratif/médical,Non défini,14280.0,1904.0,13.333333333333334
2024-11,Maladie,Maladie,cdi,Bloc opératoire,20-30 ans,37822.5,4395.0,11.620067420186398
2024-11,Maladie,Maladie,cdi,Bloc opératoire,30-40 ans,11592.0,966.0,8.333333333333332
2024-11,Maladie,Maladie,cdi,Bloc opératoire,Non défini,117158.5,13739.0,11.726848670817738
2024-11,Maladie,Maladie,cdi,Information médicale,Non défini,8032.5,1071.0,13.333333333333334
2024-11,Maladie,Maladie,cdi,Laboratoire,30-40 ans,87210.0,11628.0,13.333333333333334
2024-11,Maladie,Maladie,cdi,Logistique,Moins de 20 ans,5610.0,748.0,13.333333333333334
2024-11,Maladie,Maladie,cdi,Logistique,Non défini,2352.0,0.0,0.0
2024-11,Maladie,Maladie,cdi,Médical,20-30 ans,9540.0,1218.0,12.767295597484276
2024-11,Maladie,Maladie,cdi,Médical,30-40 ans,11452.5,1473.0,12.861820563195808
2024-11,Maladie,Maladie,cdi,Médical,Non défini,25125.0,3296.0,13.118407960199004
2024-11,Maladie,Maladie,cdi,Pharmacie,Non défini,5062.5,781.0,15.427160493827161
2024-11,Maladie,Maladie,cdi,Psycho-social,Moins de 20 ans,2641.92,344.0,13.020833333333334
2024-11,Maladie,Maladie,cdi,Psycho-social,Non défini,87210.0,11628.0,13.333333333333334
2024-11,Maladie,Maladie,cdi,Pédiatrie/néonat,Non défini,3240.0,270.0,8.333333333333332
2024-11,Maladie,Maladie,cdi,Rééducation,Non défini,8400.0,1120.0,13.333333333333334
2024-11,Maladie,Maladie,cdi,Soins infirmiers,20-30 ans,24600.0,3172.0,12.894308943089431
2024-11,Maladie,Maladie,cdi,Soins infirmiers,Non défini,111177.0,12064.0,10.851165259001412
2024-11,Maladie,Maladie,cdi,Techniques/bâtiment,Non défini,2304.0,288.0,12.5
2024-11,Événements familiaux,Décès,cdd,Soins infirmiers,50-60 ans,384.0,0.0,0.0
2024-11,Événements familiaux,Décès,cdi,Administratif/médical,Non défini,3315.0,442.0,13.333333333333334
2024-11,Événements familiaux,Décès,cdi,Bloc opératoire,Non défini,720.0,90.0,12.5
2024-11,Événements familiaux,Décès,cdi,Médical,30-40 ans,3315.0,442.0,13.333333333333334
2024-11,Événements familiaux,Décès,cdi,Médical,Non défini,3315.0,442.0,13.333333333333334
2024-11,Événements familiaux,Déménagement,cdi,Administratif/médical,Non défini,3315.0,442.0,13.333333333333334
2024-11,Événements familiaux,Déménagement,cdi,Médical,Non défini,1050.0,140.0,13.333333333333334
2024-11,Événements familiaux,Enfant malade,cdd,Soins infirmiers,20-30 ans,1728.0,144.0,8.333333333333332
2024-11,Événements familiaux,Enfant malade,cdd,Soins infirmiers,60 ans et plus,6120.0,816.0,13.333333333333334
2024-11,Événements familiaux,Enfant malade,cdi,Bloc opératoire,30-40 ans,3864.0,322.0,8.333333333333332
2024-11,Événements familiaux,Enfant malade,cdi,Bloc opératoire,Non défini,3864.0,322.0,8.333333333333332
2024-11,Événements familiaux,Enfant malade,cdi,Médical,30-40 ans,3315.0,442.0,13.333333333333334
2024-11,Événements familiaux,Enfant malade,cdi,Médical,Non défini,3315.0,442.0,13.333333333333334
2024-11,Événements familiaux,Enfant malade,cdi,Pharmacie,Non défini,1560.0,468.0,30.0
2024-11,Événements familiaux,Enfant malade,cdi,Rééducation,Non défini,3360.0,448.0,13.333333333333334
2024-11,Événements familiaux,Enfant malade,cdi,Soins infirmiers,Non défini,5712.0,578.0,10.119047619047619
2024-11,Événements familiaux,Mariage,cdi,Pharmacie,Non défini,480.0,60.0,12.5
2024-11,Événements familiaux,Mariage,cdi,Soins infirmiers,20-30 ans,22440.0,2992.0,13.333333333333334
2024-11,Événements familiaux,Mariage,cdi,Soins infirmiers,Non défini,11220.0,1496.0,13.333333333333334
2024-12,Absences non payées,Divers,cdi,Administratif/médical,Non défini,4590.0,612.0,13.333333333333334
2024-12,Accidentologie,Accident de travail,cdd,Médical,20-30 ans,2448.0,306.0,12.5
2024-12,Accidentologie,Accident de travail,cdd,Médical,30-40 ans,2448.0,306.0,12.5
2024-12,Accidentologie,Accident de travail,cdd,Techniques/bâtiment,40-50 ans,660.48,86.0,13.020833333333334
2024-12,Accidentologie,Accident de travail,cdi,Administratif/médical,20-30 ans,11424.0,1428.0,12.5
2024-12,Accidentologie,Accident de travail,cdi,Bloc opératoire,30-40 ans,2760.0,230.0,8.333333333333332
2024-12,Accidentologie,Accident de travail,cdi,Bloc opératoire,Non défini,14184.0,1658.0,11.689227298364354
2024-12,Accidentologie,Accident de travail,cdi,Information médicale,Non défini,1215.0,162.0,13.333333333333334
2024-12,Accidentologie,Accident de travail,cdi,Médical,20-30 ans,4068.0,522.0,12.831858407079647
2024-12,Accidentologie,Accident de travail,cdi,Médical,30-40 ans,4203.0,540.0,12.84796573875803
2024-12,Accidentologie,Accident de travail,cdi,Médical,Non défini,6348.0,826.0,13.0119722747322
2024-12,Accidentologie,Accident de travail,cdi,Psycho-social,Moins de 20 ans,660.48,86.0,13.020833333333334
2024-12,Accidentologie,Accident de travail,cdi,Rééducation,Non défini,1680.0,224.0,13.333333333333334
2024-12,Accidentologie,Accident de travail,cdi,Soins infirmiers,20-30 ans,960.0,80.0,8.333333333333332
2024-12,Accidentologie,Accident de travail,cdi,Soins infirmiers,Non défini,480.0,40.0,8.333333333333332
2024-12,Accidentologie,Accident de travail,cdi,Techniques/bâtiment,Non défini,896.0,112.0,12.5
2024-12,Accidentologie,Maladie professionnelle,cdd,Soins infirmiers,20-30 ans,768.0,64.0,8.333333333333332
2024-12,Aucune,Aucune,apprenti,Administratif,20-30 ans,67.5,0.0,0.0
2024-12,Aucune,Aucune,apprenti,Bloc opératoire,20-30 ans,382.0,32.0,8.37696335078534
2024-12,Aucune,Aucune,apprenti,Hygiène/Hôtellerie,20-30 ans,130.0,13.0,10.0
2024-12,Aucune,Aucune,apprenti,Laboratoire,20-30 ans,64.0,0.0,0.0
2024-12,Aucune,Aucune,apprenti,Logistique,20-30 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,apprenti,Médical,20-30 ans,149.2,15.0,10.053619302949063
2024-12,Aucune,Aucune,apprenti,Soins infirmiers,20-30 ans,472.0,35.0,7.415254237288135
2024-12,Aucune,Aucune,apprenti,Sécurité,20-30 ans,100.0,0.0,0.0
2024-12,Aucune,Aucune,cdd,Administratif,20-30 ans,698.0,76.0,10.888252148997136
2024-12,Aucune,Aucune,cdd,Administratif,30-40 ans,997.0,99.0,9.929789368104313
2024-12,Aucune,Aucune,cdd,Administratif,40-50 ans,952.5,104.0,10.918635170603675
2024-12,Aucune,Aucune,cdd,Administratif,50-60 ans,240.0,32.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Administratif,60 ans et plus,255.0,38.0,14.901960784313726
2024-12,Aucune,Aucune,cdd,Administratif,Moins de 20 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Administratif/médical,20-30 ans,270.0,36.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Administratif/médical,30-40 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Administratif/médical,40-50 ans,240.0,32.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Administratif/médical,60 ans et plus,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Biomédical,20-30 ans,272.0,17.0,6.25
2024-12,Aucune,Aucune,cdd,Bloc opératoire,20-30 ans,1059.0,104.0,9.820585457979226
2024-12,Aucune,Aucune,cdd,Bloc opératoire,30-40 ans,120.0,20.0,16.666666666666664
2024-12,Aucune,Aucune,cdd,Bloc opératoire,40-50 ans,917.0,85.0,9.269356597600872
2024-12,Aucune,Aucune,cdd,Bloc opératoire,50-60 ans,682.0,78.0,11.436950146627565
2024-12,Aucune,Aucune,cdd,Bloc opératoire,60 ans et plus,271.0,0.0,0.0
2024-12,Aucune,Aucune,cdd,Direction,40-50 ans,136.0,17.0,12.5
2024-12,Aucune,Aucune,cdd,Hygiène/Hôtellerie,40-50 ans,60.0,0.0,0.0
2024-12,Aucune,Aucune,cdd,Hygiène/Hôtellerie,50-60 ans,130.0,0.0,0.0
2024-12,Aucune,Aucune,cdd,Imagerie,20-30 ans,414.68,35.0,8.440243079000675
2024-12,Aucune,Aucune,cdd,Imagerie,30-40 ans,208.0,8.0,3.8461538461538463
2024-12,Aucune,Aucune,cdd,Imagerie,40-50 ans,100.8,8.0,7.936507936507936
2024-12,Aucune,Aucune,cdd,Imagerie,50-60 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Imagerie,60 ans et plus,105.6,1.0,0.946969696969697
2024-12,Aucune,Aucune,cdd,Imagerie,Moins de 20 ans,64.0,8.0,12.5
2024-12,Aucune,Aucune,cdd,Information médicale,20-30 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Information médicale,40-50 ans,351.0,41.0,11.68091168091168
2024-12,Aucune,Aucune,cdd,Information médicale,60 ans et plus,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Juridique,30-40 ans,136.0,17.0,12.5
2024-12,Aucune,Aucune,cdd,Laboratoire,20-30 ans,331.0,42.0,12.688821752265861
2024-12,Aucune,Aucune,cdd,Laboratoire,30-40 ans,369.0,47.0,12.737127371273713
2024-12,Aucune,Aucune,cdd,Laboratoire,40-50 ans,336.0,32.0,9.523809523809524
2024-12,Aucune,Aucune,cdd,Laboratoire,50-60 ans,195.0,25.0,12.82051282051282
2024-12,Aucune,Aucune,cdd,Logistique,20-30 ans,260.0,0.0,0.0
2024-12,Aucune,Aucune,cdd,Logistique,30-40 ans,195.0,18.0,9.230769230769232
2024-12,Aucune,Aucune,cdd,Logistique,Moins de 20 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Médical,20-30 ans,601.0,49.0,8.153078202995008
2024-12,Aucune,Aucune,cdd,Médical,30-40 ans,673.8,71.0,10.537251409913921
2024-12,Aucune,Aucune,cdd,Médical,40-50 ans,949.6,86.0,9.056444818871103
2024-12,Aucune,Aucune,cdd,Médical,50-60 ans,1180.0,126.0,10.677966101694915
2024-12,Aucune,Aucune,cdd,Médical,60 ans et plus,270.0,36.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Pharmacie,20-30 ans,375.0,32.0,8.533333333333333
2024-12,Aucune,Aucune,cdd,Pharmacie,30-40 ans,200.0,0.0,0.0
2024-12,Aucune,Aucune,cdd,Pharmacie,40-50 ans,105.0,14.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Pharmacie,Moins de 20 ans,9.6,0.0,0.0
2024-12,Aucune,Aucune,cdd,Psycho-social,40-50 ans,202.5,18.0,8.88888888888889
2024-12,Aucune,Aucune,cdd,Pédiatrie/néonat,20-30 ans,9.6,1.0,10.416666666666668
2024-12,Aucune,Aucune,cdd,Pédiatrie/néonat,Moins de 20 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Qualité,20-30 ans,216.0,27.0,12.5
2024-12,Aucune,Aucune,cdd,Qualité,Moins de 20 ans,136.0,17.0,12.5
2024-12,Aucune,Aucune,cdd,Recherche,30-40 ans,272.0,34.0,12.5
2024-12,Aucune,Aucune,cdd,Rééducation,20-30 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Rééducation,50-60 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Rééducation,60 ans et plus,240.0,32.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Rééducation,Moins de 20 ans,105.0,14.0,13.333333333333334
2024-12,Aucune,Aucune,cdd,Soins infirmiers,20-30 ans,2823.0,281.0,9.953949698901878
2024-12,Aucune,Aucune,cdd,Soins infirmiers,30-40 ans,1429.18,113.0,7.906631774863908
2024-12,Aucune,Aucune,cdd,Soins infirmiers,40-50 ans,1135.0,90.0,7.929515418502203
2024-12,Aucune,Aucune,cdd,Soins infirmiers,50-60 ans,1535.0,121.0,7.8827361563517915
2024-12,Aucune,Aucune,cdd,Soins infirmiers,60 ans et plus,505.0,38.0,7.524752475247524
2024-12,Aucune,Aucune,cdd,Soins infirmiers,Moins de 20 ans,457.0,26.0,5.689277899343545
2024-12,Aucune,Aucune,cdd,Sécurité,20-30 ans,136.0,0.0,0.0
2024-12,Aucune,Aucune,cdd,Sécurité,60 ans et plus,100.0,0.0,0.0
2024-12,Aucune,Aucune,cdd,Techniques/bâtiment,20-30 ans,149.4,19.0,12.717536813922356
2024-12,Aucune,Aucune,cdd,Techniques/bâtiment,40-50 ans,270.0,36.0,13.333333333333334
2024-12,Aucune,Aucune,cdi,Administratif,20-30 ans,3377.0,322.0,9.535090316849274
2024-12,Aucune,Aucune,cdi,Administratif,30-40 ans,679.0,90.0,13.25478645066274
2024-12,Aucune,Aucune,cdi,Administratif,40-50 ans,405.0,54.0,13.333333333333334
2024-12,Aucune,Aucune,cdi,Administratif,Moins de 20 ans,331.6,42.0,12.665862484921592
2024-12,Aucune,Aucune,cdi,Administratif,Non défini,8928.5,918.0,10.281682253458028
2024-12,Aucune,Aucune,cdi,Administratif/médical,20-30 ans,405.0,54.0,13.333333333333334
2024-12,Aucune,Aucune,cdi,Administratif/médical,30-40 ans,120.0,20.0,16.666666666666664
2024-12,Aucune,Aucune,cdi,Administratif/médical,Moins de 20 ans,270.0,18.0,6.666666666666667
2024-12,Aucune,Aucune,cdi,Administratif/médical,Non défini,1852.5,252.0,13.603238866396762
2024-12,Aucune,Aucune,cdi,Biomédical,20-30 ans,847.0,68.0,8.028335301062574
2024-12,Aucune,Aucune,cdi,Biomédical,30-40 ans,19.2,2.0,10.416666666666668
2024-12,Aucune,Aucune,cdi,Biomédical,Non défini,1320.0,108.0,8.181818181818182
2024-12,Aucune,Aucune,cdi,Bloc opératoire,20-30 ans,2193.1,201.0,9.165108750170992
2024-12,Aucune,Aucune,cdi,Bloc opératoire,30-40 ans,469.1,64.0,13.643146450650182
2024-12,Aucune,Aucune,cdi,Bloc opératoire,40-50 ans,120.0,20.0,16.666666666666664
2024-12,Aucune,Aucune,cdi,Bloc opératoire,Moins de 20 ans,896.5,99.0,11.042944785276074
2024-12,Aucune,Aucune,cdi,Bloc opératoire,Non défini,9931.1,932.0,9.38466030953268
2024-12,Aucune,Aucune,cdi,Direction,Non défini,640.0,65.0,10.15625
2024-12,Aucune,Aucune,cdi,Hygiène/Hôtellerie,20-30 ans,456.0,36.0,7.894736842105263
2024-12,Aucune,Aucune,cdi,Hygiène/Hôtellerie,30-40 ans,130.0,13.0,10.0
2024-12,Aucune,Aucune,cdi,Hygiène/Hôtellerie,Moins de 20 ans,130.0,0.0,0.0
2024-12,Aucune,Aucune,cdi,Hygiène/Hôtellerie,Non défini,1490.0,97.0,6.510067114093959
2024-12,Aucune,Aucune,cdi,Imagerie,20-30 ans,829.0,87.0,10.494571773220748
2024-12,Aucune,Aucune,cdi,Imagerie,30-40 ans,472.0,43.0,9.110169491525424
2024-12,Aucune,Aucune,cdi,Imagerie,40-50 ans,173.4,4.0,2.306805074971165
2024-12,Aucune,Aucune,cdi,Imagerie,Moins de 20 ans,160.0,8.0,5.0
2024-12,Aucune,Aucune,cdi,Imagerie,Non défini,2550.0,195.0,7.647058823529412
2024-12,Aucune,Aucune,cdi,Information médicale,20-30 ans,378.5,60.0,15.852047556142669
2024-12,Aucune,Aucune,cdi,Information médicale,30-40 ans,136.0,17.0,12.5
2024-12,Aucune,Aucune,cdi,Information médicale,Non défini,1847.0,246.0,13.318895506226314
2024-12,Aucune,Aucune,cdi,Juridique,20-30 ans,96.0,8.0,8.333333333333332
2024-12,Aucune,Aucune,cdi,Juridique,Non défini,272.0,34.0,12.5
2024-12,Aucune,Aucune,cdi,Laboratoire,20-30 ans,1425.5,180.0,12.627148368993335
2024-12,Aucune,Aucune,cdi,Laboratoire,30-40 ans,375.0,0.0,0.0
2024-12,Aucune,Aucune,cdi,Laboratoire,40-50 ans,231.0,18.0,7.792207792207792
2024-12,Aucune,Aucune,cdi,Laboratoire,Moins de 20 ans,114.6,0.0,0.0
2024-12,Aucune,Aucune,cdi,Laboratoire,Non défini,4326.1,324.0,7.48942465500104
2024-12,Aucune,Aucune,cdi,Logistique,20-30 ans,959.0,121.0,12.61730969760167
2024-12,Aucune,Aucune,cdi,Logistique,Moins de 20 ans,105.0,14.0,13.333333333333334
2024-12,Aucune,Aucune,cdi,Logistique,Non défini,2216.0,265.0,11.958483754512637
2024-12,Aucune,Aucune,cdi,Maïeutique,20-30 ans,9.6,0.0,0.0
2024-12,Aucune,Aucune,cdi,Maïeutique,Non défini,864.0,72.0,8.333333333333332
2024-12,Aucune,Aucune,cdi,Médical,20-30 ans,4068.08,432.0,10.61926019153999
2024-12,Aucune,Aucune,cdi,Médical,30-40 ans,1725.9,218.0,12.631091024972477
2024-12,Aucune,Aucune,cdi,Médical,40-50 ans,270.0,36.0,13.333333333333334
2024-12,Aucune,Aucune,cdi,Médical,Moins de 20 ans,316.0,31.0,9.81012658227848
2024-12,Aucune,Aucune,cdi,Médical,Non défini,14365.44,1487.0,10.35123184531765
2024-12,Aucune,Aucune,cdi,Pharmacie,20-30 ans,664.0,69.0,10.391566265060241
2024-12,Aucune,Aucune,cdi,Pharmacie,Moins de 20 ans,682.68,90.0,13.183336262963616
2024-12,Aucune,Aucune,cdi,Pharmacie,Non défini,4579.0,486.0,10.613671107228653
2024-12,Aucune,Aucune,cdi,Psycho-social,20-30 ans,135.0,18.0,13.333333333333334
2024-12,Aucune,Aucune,cdi,Psycho-social,Non défini,892.5,92.0,10.308123249299719
2024-12,Aucune,Aucune,cdi,Pédiatrie/néonat,20-30 ans,231.0,18.0,7.792207792207792
2024-12,Aucune,Aucune,cdi,Pédiatrie/néonat,30-40 ans,96.0,8.0,8.333333333333332
2024-12,Aucune,Aucune,cdi,Pédiatrie/néonat,Non défini,288.0,8.0,2.7777777777777777
2024-12,Aucune,Aucune,cdi,Qualité,20-30 ans,136.0,17.0,12.5
2024-12,Aucune,Aucune,cdi,Qualité,Moins de 20 ans,136.0,17.0,12.5
2024-12,Aucune,Aucune,cdi,Qualité,Non défini,832.0,73.0,8.774038461538462
2024-12,Aucune,Aucune,cdi,Recherche,20-30 ans,271.0,17.0,6.273062730627306
2024-12,Aucune,Aucune,cdi,Recherche,30-40 ans,136.0,0.0,0.0
2024-12,Aucune,Aucune,cdi,Recherche,Moins de 20 ans,192.0,8.0,4.166666666666666
2024-12,Aucune,Aucune,cdi,Recherche,Non défini,1303.0,114.0,8.749040675364544
2024-12,Aucune,Aucune,cdi,Rééducation,20-30 ans,853.0,94.0,11.019929660023447
2024-12,Aucune,Aucune,cdi,Rééducation,Non défini,2362.5,228.0,9.650793650793652
2024-12,Aucune,Aucune,cdi,Soins infirmiers,20-30 ans,5097.5,463.0,9.082883766552232
2024-12,Aucune,Aucune,cdi,Soins infirmiers,30-40 ans,2239.6,186.0,8.305054474013216
2024-12,Aucune,Aucune,cdi,Soins infirmiers,40-50 ans,728.0,46.0,6.318681318681318
2024-12,Aucune,Aucune,cdi,Soins infirmiers,Moins de 20 ans,1243.0,101.0,8.125502815768302
2024-12,Aucune,Aucune,cdi,Soins infirmiers,Non défini,25540.92,2042.0,7.995013492074679
2024-12,Aucune,Aucune,cdi,Sécurité,20-30 ans,506.0,36.0,7.114624505928854
2024-12,Aucune,Aucune,cdi,Sécurité,Non défini,658.0,29.0,4.407294832826747
2024-12,Aucune,Aucune,cdi,Techniques/bâtiment,20-30 ans,391.6,51.0,13.023493360572012
2024-12,Aucune,Aucune,cdi,Techniques/bâtiment,Moins de 20 ans,144.6,18.0,12.448132780082988
2024-12,Aucune,Aucune,cdi,Techniques/bâtiment,Non défini,994.98,123.0,12.362057528794548
2024-12,Autres,Formation,cdi,Soins infirmiers,Non défini,810.0,108.0,13.333333333333334
2024-12,Maladie,Longue maladie,cdi,Médical,30-40 ans,1755.0,234.0,13.333333333333334
2024-12,Maladie,Longue maladie,cdi,Médical,Non défini,1755.0,234.0,13.333333333333334
2024-12,Maladie,Maladie,cdd,Logistique,30-40 ans,5940.0,792.0,13.333333333333334
2024-12,Maladie,Maladie,cdd,Médical,20-30 ans,7344.0,918.0,12.5
2024-12,Maladie,Maladie,cdd,Médical,30-40 ans,7344.0,918.0,12.5
2024-12,Maladie,Maladie,cdd,Soins infirmiers,20-30 ans,4608.0,384.0,8.333333333333332
2024-12,Maladie,Maladie,cdd,Soins infirmiers,60 ans et plus,12960.0,1728.0,13.333333333333334
2024-12,Maladie,Maladie,cdd,Techniques/bâtiment,40-50 ans,2641.92,344.0,13.020833333333334
2024-12,Maladie,Maladie,cdi,Administratif,Non défini,8920.0,1136.0,12.73542600896861
2024-12,Maladie,Maladie,cdi,Administratif/médical,20-30 ans,45696.0,5712.0,12.5
2024-12,Maladie,Maladie,cdi,Administratif/médical,Non défini,15120.0,2016.0,13.333333333333334
2024-12,Maladie,Maladie,cdi,Bloc opératoire,20-30 ans,37845.0,4470.0,11.811335711454618
2024-12,Maladie,Maladie,cdi,Bloc opératoire,30-40 ans,16560.0,1380.0,8.333333333333332
2024-12,Maladie,Maladie,cdi,Bloc opératoire,Non défini,127457.0,15010.0,11.776520708944977
2024-12,Maladie,Maladie,cdi,Information médicale,Non défini,8505.0,1134.0,13.333333333333334
2024-12,Maladie,Maladie,cdi,Laboratoire,30-40 ans,92340.0,12312.0,13.333333333333334
2024-12,Maladie,Maladie,cdi,Logistique,Moins de 20 ans,5940.0,792.0,13.333333333333334
2024-12,Maladie,Maladie,cdi,Logistique,Non défini,2688.0,0.0,0.0
2024-12,Maladie,Maladie,cdi,Médical,20-30 ans,10584.0,1350.0,12.755102040816327
2024-12,Maladie,Maladie,cdi,Médical,30-40 ans,12609.0,1620.0,12.84796573875803
2024-12,Maladie,Maladie,cdi,Médical,Non défini,27024.0,3542.0,13.106867969212551
2024-12,Maladie,Maladie,cdi,Pharmacie,Non défini,5626.5,866.0,15.39145116857727
2024-12,Maladie,Maladie,cdi,Psycho-social,Moins de 20 ans,2641.92,344.0,13.020833333333334
2024-12,Maladie,Maladie,cdi,Psycho-social,Non défini,92340.0,12312.0,13.333333333333334
2024-12,Maladie,Maladie,cdi,Pédiatrie/néonat,Non défini,2880.0,240.0,8.333333333333332
2024-12,Maladie,Maladie,cdi,Rééducation,Non défini,8400.0,1120.0,13.333333333333334
2024-12,Maladie,Maladie,cdi,Soins infirmiers,20-30 ans,25680.0,3328.0,12.9595015576324
2024-12,Maladie,Maladie,cdi,Soins infirmiers,Non défini,112506.0,12359.0,10.985191900876398
2024-12,Maladie,Maladie,cdi,Techniques/bâtiment,Non défini,2688.0,336.0,12.5
2024-12,Événements familiaux,Décès,cdd,Soins infirmiers,50-60 ans,384.0,0.0,0.0
2024-12,Événements familiaux,Décès,cdi,Administratif/médical,Non défini,3510.0,468.0,13.333333333333334
2024-12,Événements familiaux,Décès,cdi,Bloc opératoire,Non défini,816.0,102.0,12.5
2024-12,Événements familiaux,Décès,cdi,Médical,30-40 ans,3510.0,468.0,13.333333333333334
2024-12,Événements familiaux,Décès,cdi,Médical,Non défini,3510.0,468.0,13.333333333333334
2024-12,Événements familiaux,Déménagement,cdi,Administratif/médical,Non défini,3510.0,468.0,13.333333333333334
2024-12,Événements familiaux,Déménagement,cdi,Médical,Non défini,1050.0,140.0,13.333333333333334
2024-12,Événements familiaux,Enfant malade,cdd,Soins infirmiers,20-30 ans,1536.0,128.0,8.333333333333332
2024-12,Événements familiaux,Enfant malade,cdd,Soins infirmiers,60 ans et plus,6480.0,864.0,13.333333333333334
2024-12,Événements familiaux,Enfant malade,cdi,Bloc opératoire,30-40 ans,5520.0,460.0,8.333333333333332
2024-12,Événements familiaux,Enfant malade,cdi,Bloc opératoire,Non défini,5520.0,460.0,8.333333333333332
2024-12,Événements familiaux,Enfant malade,cdi,Médical,30-40 ans,3510.0,468.0,13.333333333333334
2024-12,Événements familiaux,Enfant malade,cdi,Médical,Non défini,3510.0,468.0,13.333333333333334
